id,name_th,name_en,province_id
608,เวียงป่าเป้า,เวียงป่าเป้า,57
609,แม่สรวย,แม่สรวย,57
610,ป่าแดด,ป่าแดด,57
611,เวียงชัย,เวียงชัย,57
612,เวียงเชียงรุ้ง,เวียงเชียงรุ้ง,57
613,พญาเม็งราย,พญาเม็งราย,57
614,เวียงแก่น,เวียงแก่น,57
615,ขุนตาล,ขุนตาล,57
616,เมืองแม่ฮ่องสอน,เมืองแม่ฮ่องสอน,58
617,สบเมย,สบเมย,58
618,แม่สะเรียง,แม่สะเรียง,58
619,แม่ลาน้อย,แม่ลาน้อย,58
620,ปาย,ปาย,58
621,ขุนยวม,ขุนยวม,58
622,ปางมะผ้า,ปางมะผ้า,58
623,เมืองนครสวรรค์,เมืองนครสวรรค์,60
624,หนองบัว,หนองบัว,60
625,ชุมแสง,ชุมแสง,60
626,พยุหะคีรี,พยุหะคีรี,60
627,ตาคลี,ตาคลี,60
628,ชุมตาบง,ชุมตาบง,60
629,ลาดยาว,ลาดยาว,60
630,แม่วงก์,แม่วงก์,60
631,แม่เปิน,แม่เปิน,60
632,ท่าตะโก,ท่าตะโก,60
633,โกรกพระ,โกรกพระ,60
634,บรรพตพิสัย,บรรพตพิสัย,60
635,ตากฟ้า,ตากฟ้า,60
636,ไพศาลี,ไพศาลี,60
637,เก้าเลี้ยว,เก้าเลี้ยว,60
638,เมืองอุทัยธานี,เมืองอุทัยธานี,61
639,หนองฉาง,หนองฉาง,61
640,ทัพทัน,ทัพทัน,61
641,หนองขาหย่าง,หนองขาหย่าง,61
642,บ้านไร่,บ้านไร่,61
643,สว่างอารมณ์,สว่างอารมณ์,61
644,ลานสัก,ลานสัก,61
645,ห้วยคต,ห้วยคต,61
646,เมืองกำแพงเพชร,เมืองกำแพงเพชร,62
647,โกสัมพีนคร,โกสัมพีนคร,62
648,พรานกระต่าย,พรานกระต่าย,62
649,คลองขลุง,คลองขลุง,62
650,ปางศิลาทอง,ปางศิลาทอง,62
651,ขาณุวรลักษบุรี,ขาณุวรลักษบุรี,62
652,ไทรงาม,ไทรงาม,62
653,ลานกระบือ,ลานกระบือ,62
654,คลองลาน,คลองลาน,62
655,ทรายทองวัฒนา,ทรายทองวัฒนา,62
656,บึงสามัคคี,บึงสามัคคี,62
657,เมืองตาก,เมืองตาก,63
658,แม่สอด,แม่สอด,63
659,บ้านตาก,บ้านตาก,63
660,สามเงา,สามเงา,63
661,แม่ระมาด,แม่ระมาด,63
662,ท่าสองยาง,ท่าสองยาง,63
663,พบพระ,พบพระ,63
664,อุ้มผาง,อุ้มผาง,63
665,วังเจ้า,วังเจ้า,63
666,เมืองสุโขทัย,เมืองสุโขทัย,64
667,สวรรคโลก,สวรรคโลก,64
668,ศรีสำโรง,ศรีสำโรง,64
669,ศรีสัชนาลัย,ศรีสัชนาลัย,64
670,บ้านด่านลานหอย,บ้านด่านลานหอย,64
671,ทุ่งเสลี่ยม,ทุ่งเสลี่ยม,64
672,คีรีมาศ,คีรีมาศ,64
673,กงไกรลาศ,กงไกรลาศ,64
674,ศรีนคร,ศรีนคร,64
675,เมืองพิษณุโลก,เมืองพิษณุโลก,65
676,บางกระทุ่ม,บางกระทุ่ม,65
677,นครไทย,นครไทย,65
678,วังทอง,วังทอง,65
679,บางระกำ,บางระกำ,65
680,พรหมพิราม,พรหมพิราม,65
681,วัดโบสถ์,วัดโบสถ์,65
682,ชาติตระการ,ชาติตระการ,65
